Construction,Who suggested it,Is it a construction?,Status (present in Constructicon or not),Comments,Scholarly description if there is any,Freq in the RNC
37. уж скорее вонючку или Р;,EV (O'Neill's plays),,,,,
38. лучше уж Р;,EV (O'Neill's plays),,,,,
39. Р и ходу отсюда;,EV (O'Neill's plays),,,,,
"40. что Х, как У, близорукий, что ли?;",EV (O'Neill's plays),,,,,
41. и Х-у спасибо;,EV (O'Neill's plays),,,,,
42. на рождество Р;,EV (O'Neill's plays),,,,,
"43. Р, дай срок!;",EV (O'Neill's plays),,,,,
"44. что ж, оскорбляй Х-а, Р;",EV (O'Neill's plays),,,,,
45. ни на что другое Р;,EV (O'Neill's plays),,,,,
46. будь на твоем месте Р;,EV (O'Neill's plays),,,,,
"47. вот Х, оказывается, какой;",EV (O'Neill's plays),,,,,
48. что в Х-е смешного?;,EV (O'Neill's plays),,,,,
49. Х-у не о чем Inf;,EV (O'Neill's plays),,,,,
50. что Х-у надо?;,EV (O'Neill's plays),,,,,
"51. Р, не стоит говорить;",EV (O'Neill's plays),,,,,
52. Х весь в У-а;,EV (O'Neill's plays),,,,,
"53. Р, не будь он придурком;",EV (O'Neill's plays),,,,,
"54. не причитай, ты ж еще не Р;",EV (O'Neill's plays),,,,,
55. голову у Х-а варит;,EV (O'Neill's plays),,,,,
"56. как бы очнувшись, Х, ругая себя;",EV (O'Neill's plays),,,,,
57. Х всего-навсего нанят;,EV (O'Neill's plays),,,,,
58. Х затаил на У-а обиду;,EV (O'Neill's plays),,,,,
59. того гляди старик Р;,EV (O'Neill's plays),,,,,
60. откуда Х-у знать - Р?;,EV (O'Neill's plays),,,,,
61. Х что-то весел не в меру;,EV (O'Neill's plays),,,,,
62. что это нашло на Х-а?;,EV (O'Neill's plays),,,,,
63. ишь как Х-у не нравится;,EV (O'Neill's plays),,,,,
64. где ж Х?;,EV (O'Neill's plays),,,,,
65. у Х-а У-а много - силы;,EV (O'Neill's plays),,,,,
"66. Р, выше голову!;",EV (O'Neill's plays),,,,,
"67. Р, как дважды два!;",EV (O'Neill's plays),,,,,
"68. вот Х, оказывается, где;",EV (O'Neill's plays),,,,,
"69. думаешь, Х не знает;",EV (O'Neill's plays),,,,,
"70. Х не стоит того, чтобы Р;",EV (O'Neill's plays),,,,,
"71. Р, и все потому, что ;",EV (O'Neill's plays),,,,,
72. Х-у все ясно!;,EV (O'Neill's plays),,,,,
73. Х так и скажет У-у;,EV (O'Neill's plays),,,,,
74. Х будет мучиться больше;,EV (O'Neill's plays),,,,,
"75. Р, что бы Х не говорил;",EV (O'Neill's plays),,,,,
76. Х бы У давно украл;,EV (O'Neill's plays),,,,,
"77. Так, значит, Р?;",EV (O'Neill's plays),,,,,
"78. Р, что и говорить!;",EV (O'Neill's plays),,,,,
79. Р - что надо!;,EV (O'Neill's plays),,,,,
"80. смотрю, Р;",EV (O'Neill's plays),,,,,
81. так и подмывало Inf;,EV (O'Neill's plays),,,,,
82. ну и Х!;,EV (O'Neill's plays),,,,,
83. Х-у рано;,EV (O'Neill's plays),,,,,
"84. просто чудо, Р;",EV (O'Neill's plays),,,,,
85. не люблю Inf;,EV (O'Neill's plays),,,,,
86. такой уж Х человек;,EV (O'Neill's plays),,,,,
87. уж не боитесь ли вы Р;,EV (O'Neill's plays),,,,,
88. Х едва оправился;,EV (O'Neill's plays),,,,,
"89. если бы не боевые заслуги, Р;",EV (O'Neill's plays),,,,,
90. насчет Х-а - это для У-а не новость;,EV (O'Neill's plays),,,,,
91. перед Х-ом устоять;,EV (O'Neill's plays),,,,,
"92. захоти Х рискнуть, Р;",EV (O'Neill's plays),,,,,
93. другого такого Р;,EV (O'Neill's plays),,,,,
"94. имей в виду, Р;",EV (O'Neill's plays),,,,,
95. сам же Р;,EV (O'Neill's plays),,,,,
96. ох и любит Р;,EV (O'Neill's plays),,,,,
97. больно Х-у сваливать вину;,EV (O'Neill's plays),,,,,
"98. не верится, что Р;",EV (O'Neill's plays),,,,,
99. будь Х проклят;,EV (O'Neill's plays),,,,,
100. что это Х с утра;,EV (O'Neill's plays),,,,,
101. с тех пор как Р;,EV (O'Neill's plays),,,,,
102. вишь как Х-у;,EV (O'Neill's plays),,,,,
"103. Х чересчур болен и слаб, чтобы Р;",EV (O'Neill's plays),,,,,
"104. не лезь Р, не то;",EV (O'Neill's plays),,,,,
"105. ну, не пугайте Х-а;",EV (O'Neill's plays),,,,,
"106. так, значит, хотела Р;",EV (O'Neill's plays),,,,,
"107. надеюсь, Х У-у сказал, Р;",EV (O'Neill's plays),,,,,
108. а какой Х собой?;,EV (O'Neill's plays),,,,,
109. это так Х…Р;,EV (O'Neill's plays),,,,,
110. будто Х не знает;,EV (O'Neill's plays),,,,,
111. до чего Х ненавидит;,EV (O'Neill's plays),,,,,
"112. Р, как Х запамятовал;",EV (O'Neill's plays),,,,,
"113. признаться, Х рад;",EV (O'Neill's plays),,,,,
114. а что Х-у даст этот У?;,EV (O'Neill's plays),,,,,
115. не хуже самой Х;,EV (O'Neill's plays),,,,,
"116. Р, мне ли вас попрекать?;",EV (O'Neill's plays),,,,,
117. почему Х не скажет Р;,EV (O'Neill's plays),,,,,
118. не стоит об этом Р;,EV (O'Neill's plays),,,,,
119. Р - если Х сказал;,EV (O'Neill's plays),,,,,
"120. не знаю, как насчет У-а;",EV (O'Neill's plays),,,,,
121. но всему виной Р;,EV (O'Neill's plays),,,,,
122. Inf как следует;,EV (O'Neill's plays),,,,,
123. да Х и не жалуется;,EV (O'Neill's plays),,,,,
124. как Х смеет;,EV (O'Neill's plays),,,,,
125. да и как Х-у не понравится;,EV (O'Neill's plays),,,,,
"126. как это мило, что Р;",EV (O'Neill's plays),,,,,
127. какой же Х ловкий!;,EV (O'Neill's plays),,,,,
128. Х находит У-а родню;,EV (O'Neill's plays),,,,,
129. попросить Х-а руки;,EV (O'Neill's plays),,,,,
130. очень Х-у нужна У-а помощь;,EV (O'Neill's plays),,,,,
"131. Х У-у говорил, чтобы Р;",EV (O'Neill's plays),,,,,
"132. чтоб никакого У-а тут, поняли!;",EV (O'Neill's plays),,,,,
133. уж если кого надо даром Inf;,EV (O'Neill's plays),,,,,
134. не упусти случая Р;,EV (O'Neill's plays),,,,,
135. Х не так понял;,EV (O'Neill's plays),,,,,
"136. Х-а послушаешь, можно подумать, Р;",EV (O'Neill's plays),,,,,
"137. так красив, что Р;",EV (O'Neill's plays),,,,,
138. чего Х-у вздумалось;,EV (O'Neill's plays),,,,,
139. ни разу не набрался смелости Р;,EV (O'Neill's plays),,,,,
140. дело доходит до Р;,EV (O'Neill's plays),,,,,
"141. Х не подумает, что Р;",EV (O'Neill's plays),,,,,
"142. куда больше, чем Р;",EV (O'Neill's plays),,,,,
143. хватит с Х-а;,EV (O'Neill's plays),,,,,
144. не стыдно Х-у;,EV (O'Neill's plays),,,,,
145. дай бог Х-у здоровье;,EV (O'Neill's plays),,,,,
146. Х на себя не похожа;,EV (O'Neill's plays),,,,,
"147. не обидно, что Р;",EV (O'Neill's plays),,,,,
148. Х настолько отвык от У-а;,EV (O'Neill's plays),,,,,
149. от Х-а несет У-ом;,EV (O'Neill's plays),,,,,
150. не такой уж Р;,EV (O'Neill's plays),,,,,
151. хватило ума Р;,EV (O'Neill's plays),,,,,
"152. какая женщина захочет, Р;",EV (O'Neill's plays),,,,,
153. обожди Х хотя бы до завтра;,EV (O'Neill's plays),,,,,
154. Х У-у Z;,EV (O'Neill's plays),,,,,
155. с чего Х взял?;,EV (O'Neill's plays),,,,,
"156. Х ведь их тех, Р;",EV (O'Neill's plays),,,,,
"157. ах, разрази Х-а господь;",EV (O'Neill's plays),,,,,
158. ни капельки Х-у не стыдно;,EV (O'Neill's plays),,,,,
"159. Х пойдет на все, чтобы Р;",EV (O'Neill's plays),,,,,
160. не будь таким А-ым;,EV (O'Neill's plays),,,,,
"161. не угадаешь, Р;",EV (O'Neill's plays),,,,,
"162. помимо всего, Р;",EV (O'Neill's plays),,,,,
"163. не знаю, что Х об У-е подумает;",EV (O'Neill's plays),,,,,
"164. сама не пойму, что Р;",EV (O'Neill's plays),,,,,
165. разве что Р;,EV (O'Neill's plays),,,,,
"166. больше того, Р;",EV (O'Neill's plays),,,,,
"167. такому А-ому У-у, как Х;",EV (O'Neill's plays),,,,,
168. приходится все время Р;,EV (O'Neill's plays),,,,,
169. не осмелилась Inf ;,EV (O'Neill's plays),,,,,
170. и без Х-а зватает забот;,EV (O'Neill's plays),,,,,
"171. сделать вид, что Р;",EV (O'Neill's plays),,,,,
172. тут Х сел в лужу;,EV (O'Neill's plays),,,,,
"173. Р, а глядишь, ;",EV (O'Neill's plays),,,,,
174. вся беда в Р;,EV (O'Neill's plays),,,,,
175. пичкать Х-а;,EV (O'Neill's plays),,,,,
"176. не думает же Х, что Р;",EV (O'Neill's plays),,,,,
177. дать Х-у повод;,EV (O'Neill's plays),,,,,
"178. не хуже, чем Р;",EV (O'Neill's plays),,,,,
179. Х в честь ;,EV (O'Neill's plays),,,,,
"180. Р, если помнишь;",EV (O'Neill's plays),,,,,
"181. верно (ведь), Х?;",EV (O'Neill's plays),,,,,
"182. Х так галдит, что Р;",EV (O'Neill's plays),,,,,
183. на чем Х остановился;,EV (O'Neill's plays),,,,,
"184. ах да, Х выжидал, Р;",EV (O'Neill's plays),,,,,
185. Х пытался научить;,EV (O'Neill's plays),,,,,
186. до чего же иногда Р;,EV (O'Neill's plays),,,,,
187. Х принимает У-а извинения;,EV (O'Neill's plays),,,,,
188. Х прав!;,EV (O'Neill's plays),,,,,
189. тем лучше для Х-а;,EV (O'Neill's plays),,,,,
190. то ли дело Х!;,EV (O'Neill's plays),,,,,
191. в Х так в Х;,EV (O'Neill's plays),,,,,
192. поневоле пришлось Inf;,EV (O'Neill's plays),,,,,
193. смотреть на Х тошно;,EV (O'Neill's plays),,,,,
194. Х так и знал…;,EV (O'Neill's plays),,,,,
195. а что Х мог сказать;,EV (O'Neill's plays),,,,,
196. так Х и знал;,EV (O'Neill's plays),,,,,
197. Х вот что скажи;,EV (O'Neill's plays),,,,,
198. спасибо хоть за Х;,EV (O'Neill's plays),,,,,
"199. что было время, когда Р;",EV (O'Neill's plays),,,,,
200. принимает Х-а за дурака;,EV (O'Neill's plays),,,,,
"201. Inf, Х говорит?;",EV (O'Neill's plays),,,,,
202. Х еще смеет думать о Р;,EV (O'Neill's plays),,,,,
203. Х-у легко говорить;,EV (O'Neill's plays),,,,,
204. Х один в целом свете;,EV (O'Neill's plays),,,,,
"205. Р, и все тут!;",EV (O'Neill's plays),,,,,
206. как это - Р?;,EV (O'Neill's plays),,,,,
207. от Х-а прок;,EV (O'Neill's plays),,,,,
208. кому какое дело до Х-а;,EV (O'Neill's plays),,,,,
"209. что бы ни случилось, Р, не имеет значения;",EV (O'Neill's plays),,,,,
"210. а ну ее, эту Х;",EV (O'Neill's plays),,,,,
211. вот Х и переживал;,EV (O'Neill's plays),,,,,
212. Х вне себя;,EV (O'Neill's plays),,,,,
213. как Х У-а ни уговаривал;,EV (O'Neill's plays),,,,,
214. так Х-у и надо!;,EV (O'Neill's plays),,,,,
"215. помолчи,Р;",EV (O'Neill's plays),,,,,
216. если Х подумает здесь Р;,EV (O'Neill's plays),,,,,
217. не смей на Х-ом Inf;,EV (O'Neill's plays),,,,,
"218. Р, не явись полиция;",EV (O'Neill's plays),,,,,
"219. последнее, что Р, прежде чем потерял сознание - Р2;",EV (O'Neill's plays),,,,,
"220. не видишь, Р;",EV (O'Neill's plays),,,,,
"221. самое лучшее, если Р;",EV (O'Neill's plays),,,,,
222. чтоб Х-у пусто было;,EV (O'Neill's plays),,,,,
223. с Х-а хватит;,EV (O'Neill's plays),,,,,
224. обращайте на Х-а внимание;,EV (O'Neill's plays),,,,,
"225. даром Х, что ли;",EV (O'Neill's plays),,,,,
226. на кой черт Х-у нужен;,EV (O'Neill's plays),,,,,
227. Х же сам не свой;,EV (O'Neill's plays),,,,,
228. Х-у бы служить;,EV (O'Neill's plays),,,,,
229. не смей Inf;,EV (O'Neill's plays),,,,,
230. вот Х-у урок;,EV (O'Neill's plays),,,,,
231. и не стыдно Х-у плакать;,EV (O'Neill's plays),,,,,
"232. не такой уж и Х, как У это Р;",EV (O'Neill's plays),,,,,
233. этого у Х-а не отнимешь;,EV (O'Neill's plays),,,,,
234. Х бы лучше Р;,EV (O'Neill's plays),,,,,
235. Х ни к чему не притронулся;,EV (O'Neill's plays),,,,,
"236. день,другой - Р;",EV (O'Neill's plays),,,,,
237. да и с чего бы Х-у?;,EV (O'Neill's plays),,,,,
238. если бы Х знал;,EV (O'Neill's plays),,,,,
239. ну что Х говорит;,EV (O'Neill's plays),,,,,
240. держу пари Р;,EV (O'Neill's plays),,,,,
241. пора бы Р;,EV (O'Neill's plays),,,,,
242. ну и горазд же Х Inf ;,EV (O'Neill's plays),,,,,
243. Х не иначе как;,EV (O'Neill's plays),,,,,
244. ну и язык у Х-а!;,EV (O'Neill's plays),,,,,
245. ох уж этот Х;,EV (O'Neill's plays),,,,,
246. по крови Х Р;,EV (O'Neill's plays),,,,,
247. по Х-а словам;,EV (O'Neill's plays),,,,,
248. плакался Х-у в желетку;,EV (O'Neill's plays),,,,,
249. уши вянут от Р;,EV (O'Neill's plays),,,,,
"250. на все пойдут, лишь бы Р;",EV (O'Neill's plays),,,,,
251. на Х-ом году после свадьбы;,EV (O'Neill's plays),,,,,
252. как Х-у ни лестно слушать комплементы;,EV (O'Neill's plays),,,,,
253. надо же быть таким Х-ом;,EV (O'Neill's plays),,,,,
254. гду у Х-а голова?;,EV (O'Neill's plays),,,,,
255. чем плох для Х-а У?;,EV (O'Neill's plays),,,,,
256. Х-а послушать - Р;,EV (O'Neill's plays),,,,,
257. Х-у не по карману оплачивать Р;,EV (O'Neill's plays),,,,,
"258. нет, каково: навязал Х-у?;",EV (O'Neill's plays),,,,,
"259. ошибаешься, Х;",EV (O'Neill's plays),,,,,
"260. Когда, говоришь, Р?;",EV (O'Neill's plays),,,,,
261. Х пошел в У-а;,EV (O'Neill's plays),,,,,
262. Х - вылитая мать;,EV (O'Neill's plays),,,,,
263. чо Х имеет в виду?;,EV (O'Neill's plays),,,,,
264. Х без тебя всего Р;,EV (O'Neill's plays),,,,,
265. к чему Х клонит?;,EV (O'Neill's plays),,,,,
266. чтоб Х больше не слышал Р;,EV (O'Neill's plays),,,,,
267. раз уж не можешь быть Р;,EV (O'Neill's plays),,,,,
268. надо быть хоть Р;,EV (O'Neill's plays),,,,,
269. Х готов на все;,EV (O'Neill's plays),,,,,
270. хотел бы Х поглядеть;,EV (O'Neill's plays),,,,,
271. надо же было Х-у Р;,EV (O'Neill's plays),,,,,
272. Х и сам все понимает;,EV (O'Neill's plays),,,,,
"273. уж о чем другом, а об это Р;",EV (O'Neill's plays),,,,,
274. объясни Х-у;,EV (O'Neill's plays),,,,,
275. опять Х за свое!;,EV (O'Neill's plays),,,,,
"276. судя по всему, Р;",EV (O'Neill's plays),,,,,
277. вот к чему Х клонит;,EV (O'Neill's plays),,,,,
278. грех Inf ;,EV (O'Neill's plays),,,,,
279. а когда Х У-у не нужен?;,EV (O'Neill's plays),,,,,
280. никак не меньше У-а;,EV (O'Neill's plays),,,,,
281. будет Х-у!;,EV (O'Neill's plays),,,,,
"282. А-ая Х, правда?;",EV (O'Neill's plays),,,,,
283. не то что Р;,EV (O'Neill's plays),,,,,
284. никогда душа не лежала к Р;,EV (O'Neill's plays),,,,,
"285. будь моя воля, Р;",EV (O'Neill's plays),,,,,
286. Х не так уж плох;,EV (O'Neill's plays),,,,,
287. Х бы от стыда сгорел;,EV (O'Neill's plays),,,,,
288. Р - это Х-у нож острый;,EV (O'Neill's plays),,,,,
"289. будет Х-у, У;",EV (O'Neill's plays),,,,,
290. Р - и только;,EV (O'Neill's plays),,,,,
291. Х же сам знает;,EV (O'Neill's plays),,,,,
292. Р - что же еще?;,EV (O'Neill's plays),,,,,
293. не смей говорить Р;,EV (O'Neill's plays),,,,,
294. страсть как люблю Р;,EV (O'Neill's plays),,,,,
"Р, будь у Х-а свои У",EV (O'Neill's plays),,,,,
"что и говорить, Р",EV (O'Neill's plays),,,,,
раз уж Х подал мне такую мысль,EV (O'Neill's plays),,,,,
Х-у бы только Р,EV (O'Neill's plays),,,,,
Х просто не мог не Inf,EV (O'Neill's plays),,,,,
с какой стати Х должен Р,EV (O'Neill's plays),,,,,
"не меньше твоего надеюсь, Р",EV (O'Neill's plays),,,,,
"жаль, Р",EV (O'Neill's plays),,,,,
не смей говорить о Х-е,EV (O'Neill's plays),,,,,
почему бы нам не Inf,EV (O'Neill's plays),,,,,
никуда Х меня не спроваживала!,EV (O'Neill's plays),,,,,
Х просто с ума сошел,EV (O'Neill's plays),,,,,
неужели Х не знает Р,EV (O'Neill's plays),,,,,
Р - Х сразу обидится,EV (O'Neill's plays),,,,,
что так уставился на У-а?,EV (O'Neill's plays),,,,,
Х не слепой,EV (O'Neill's plays),,,,,
черт бы Х-а побрал,EV (O'Neill's plays),,,,,
к черту Х-а,EV (O'Neill's plays),,,,,
ну коли так - Р,EV (O'Neill's plays),,,,,
"помолчи, Х",EV (O'Neill's plays),,,,,
пойдем мы наконец Inf?,EV (O'Neill's plays),,,,,
"разве Х не знает, Р",EV (O'Neill's plays),,,,,
"да-да, идите Р",EV (O'Neill's plays),,,,,
"впрочем, Р",EV (O'Neill's plays),,,,,
Х-у наплевать,EV (O'Neill's plays),,,,,
поклянись хоть на Р,EV (O'Neill's plays),,,,,
"Х,как дурак, надеялся",EV (O'Neill's plays),,,,,
"Х, моя плоть и кровь",EV (O'Neill's plays),,,,,
не смей совать нос в Х-а дела,EV (O'Neill's plays),,,,,
вечно Х пилит,EV (O'Neill's plays),,,,,
за за что Х У-а так?,EV (O'Neill's plays),,,,,
что за глупости Х говорит?,EV (O'Neill's plays),,,,,
"ради бога, Р",EV (O'Neill's plays),,,,,
да разве Х допустил бы Р,EV (O'Neill's plays),,,,,
Х бытро учится,EV (O'Neill's plays),,,,,
как у Х-а язык повернулся сказать,EV (O'Neill's plays),,,,,
"послушай, Х",EV (O'Neill's plays),,,,,
Х только начал,EV (O'Neill's plays),,,,,
Х что угодно сделает для У-а,EV (O'Neill's plays),,,,,
прошу Х-а,EV (O'Neill's plays),,,,,
Х понятия не имеет Р,EV (O'Neill's plays),,,,,
а чего же другого Х ждал?,EV (O'Neill's plays),,,,,
разве может Х Р?,EV (O'Neill's plays),,,,,
так Х же старый дурак!,EV (O'Neill's plays),,,,,
Х этого не вынесет,EV (O'Neill's plays),,,,,
"ей-богу, Р",EV (O'Neill's plays),,,,,
хороший мужчина - Р,EV (O'Neill's plays),,,,,
как это Х не стал У-ом?,EV (O'Neill's plays),,,,,
не то чтобы Х имела против Р,EV (O'Neill's plays),,,,,
готов был сделать все Р,EV (O'Neill's plays),,,,,
"а по мне, Р",EV (O'Neill's plays),,,,,
мечтал только об одном - Р,EV (O'Neill's plays),,,,,
Х У- больше не нужен,EV (O'Neill's plays),,,,,
ну просто представить Х-а не могу,EV (O'Neill's plays),,,,,
можете подавать У,EV (O'Neill's plays),,,,,
"не понимаю, о чем Х говорит",EV (O'Neill's plays),,,,,
"Х-у было так тоскливо, так одиноко",EV (O'Neill's plays),,,,,
"как Х рад, что Р",EV (O'Neill's plays),,,,,
Х тем не менее прав,EV (O'Neill's plays),,,,,
какого же Х дурака свалял,EV (O'Neill's plays),,,,,
"кто бы мог подумать, Р",EV (O'Neill's plays),,,,,
это Х виноват Р,EV (O'Neill's plays),,,,,
как Х вливал в рот,EV (O'Neill's plays),,,,,
"Х не представляет себе, Р",EV (O'Neill's plays),,,,,
р - несмотря ни на что,EV (O'Neill's plays),,,,,
"Р, и всегда буду любить!",EV (O'Neill's plays),,,,,
Р - при всей моей любви к У-у,EV (O'Neill's plays),,,,,
"Х-у чудилось, что Р",EV (O'Neill's plays),,,,,
скоро У?,EV (O'Neill's plays),,,,,
вечно ворчала на Х-а,EV (O'Neill's plays),,,,,
"Р, это не беда",EV (O'Neill's plays),,,,,
постоянно пилишь за то Р,EV (O'Neill's plays),,,,,
в кои веки Р,EV (O'Neill's plays),,,,,
все Х-а слова - пустое,EV (O'Neill's plays),,,,,
Х витает где-то далеко от нас,EV (O'Neill's plays),,,,,
что толку теперь разговаривать с Х-ом,EV (O'Neill's plays),,,,,
Х-у больно и обидно слушать это,EV (O'Neill's plays),,,,,
лучше ничего не говори Х-у,EV (O'Neill's plays),,,,,
"нет уж, Р",EV (O'Neill's plays),,,,,
скрывать правду от Х-а невозможно,EV (O'Neill's plays),,,,,
у Х-а сердве разрывается,EV (O'Neill's plays),,,,,
"Р, не посоветовавшись с Х-ом?",EV (O'Neill's plays),,,,,
Х всячески добивался,EV (O'Neill's plays),,,,,
зачем Х станет слушать,EV (O'Neill's plays),,,,,
терпеть не могу Р,EV (O'Neill's plays),,,,,
Х вспылил,EV (O'Neill's plays),,,,,
оставил Х-а в дураках,EV (O'Neill's plays),,,,,
"Р, когда Х кривит душой!",EV (O'Neill's plays),,,,,
Х истомился от одиночества,EV (O'Neill's plays),,,,,
плевать Х хотел на Р,EV (O'Neill's plays),,,,,
"господи, Р",EV (O'Neill's plays),,,,,
к черту У,EV (O'Neill's plays),,,,,
Х просто чудо,EV (O'Neill's plays),,,,,
голова у Х-а на плечах есть,EV (O'Neill's plays),,,,,
"христа ради, Р",EV (O'Neill's plays),,,,,
"во всяком случае, Р",EV (O'Neill's plays),,,,,
"дай бог, Р",EV (O'Neill's plays),,,,,
никак не удается Р,EV (O'Neill's plays),,,,,
Р - вот что обидно!,EV (O'Neill's plays),,,,,
что Х несет?,EV (O'Neill's plays),,,,,
Р - и все попусту,EV (O'Neill's plays),,,,,
что проку было Р,EV (O'Neill's plays),,,,,
"после всего, что Р",EV (O'Neill's plays),,,,,
"стоило Х-у захотеть, Р",EV (O'Neill's plays),,,,,
это Х сгоряча,EV (O'Neill's plays),,,,,
Х-у крышка,EV (O'Neill's plays),,,,,
"ну и что из того, что Р",EV (O'Neill's plays),,,,,
"бог ты мой, да неужели Р?",EV (O'Neill's plays),,,,,
"не то Х, не то У",EV (O'Neill's plays),,,,,
Х У-у голову задурил,EV (O'Neill's plays),,,,,
Р - сил нет,EV (O'Neill's plays),,,,,
стал чересур ценить Х,EV (O'Neill's plays),,,,,
Х был хозяином судьбы своей,EV (O'Neill's plays),,,,,
"над чем Х, интересно, смеется?",EV (O'Neill's plays),,,,,
у Х-а все задатки У-а,EV (O'Neill's plays),,,,,
"коли так, Р",EV (O'Neill's plays),,,,,
слишком много на Х-а свалилось,EV (O'Neill's plays),,,,,
"чем скорее Р1, тем меньше Р2",EV (O'Neill's plays),,,,,
"Р, ясное дело, Р2",EV (O'Neill's plays),,,,,
большое дело: Х,EV (O'Neill's plays),,,,,
того и гляди Р,EV (O'Neill's plays),,,,,
кто Х-а за язык тянул?,EV (O'Neill's plays),,,,,
Р - во всяком случае,EV (O'Neill's plays),,,,,
Х жестоко обманулся в У-е,EV (O'Neill's plays),,,,,
бог весть Р,EV (O'Neill's plays),,,,,
Р - ради твоего же блага,EV (O'Neill's plays),,,,,
вышвырнуть Х-а из дому,EV (O'Neill's plays),,,,,
от Х-а ничего не утаишь!,EV (O'Neill's plays),,,,,
"Р, как всегда",EV (O'Neill's plays),,,,,
Р - ни-ни,EV (O'Neill's plays),,,,,
"смейся,смейся над тем Р",EV (O'Neill's plays),,,,,
"Р, словно кот на сало",EV (O'Neill's plays),,,,,
не больно-то Х-у У нужен,EV (O'Neill's plays),,,,,
катись ты с У-ом,EV (O'Neill's plays),,,,,
"если Х пронюхал, Р",EV (O'Neill's plays),,,,,
погляди только Р,EV (O'Neill's plays),,,,,
"так же не везло Р, как У-у",EV (O'Neill's plays),,,,,
"не успел Х опомнится, как Р",EV (O'Neill's plays),,,,,
гори Х в огне за такие разговоры,EV (O'Neill's plays),,,,,
очень Х-у нужно в дураках ходить,EV (O'Neill's plays),,,,,
"одно дело Р, а другое Р2",EV (O'Neill's plays),,,,,
Х ведь заботится только о У-е,EV (O'Neill's plays),,,,,
кто Х-а знает,EV (O'Neill's plays),,,,,
"Р, будто на свете важны только Х",EV (O'Neill's plays),,,,,
Х-у лучше знать,EV (O'Neill's plays),,,,,
большу Х от У-а помощь видел,EV (O'Neill's plays),,,,,
Х почуял что-то недорброе,EV (O'Neill's plays),,,,,
нечего Inf!,EV (O'Neill's plays),,,,,
"короче говоря, Р",EV (O'Neill's plays),,,,,
чтоб Х подавился!,EV (O'Neill's plays),,,,,
"сделай вид, что Р",EV (O'Neill's plays),,,,,
не морочьте Х-у голову,EV (O'Neill's plays),,,,,
день за днем Р,EV (O'Neill's plays),,,,,
"давно пора, Р",EV (O'Neill's plays),,,,,
долой Х,EV (O'Neill's plays),,,,,
" начну по порядку, Р",EV (O'Neill's plays),,,,,
Х сыграет с ним шутку,EV (O'Neill's plays),,,,,
Х-у было горько,EV (O'Neill's plays),,,,,
стоит Х-у пальцем У-а поманить,EV (O'Neill's plays),,,,,
у Х-а есть одна слабость,EV (O'Neill's plays),,,,,
Х-а не сломишь,EV (O'Neill's plays),,,,,
вам ли говорить о У-е?,EV (O'Neill's plays),,,,,
"Х-а , наверное, хватил бы удар",EV (O'Neill's plays),,,,,
как Х вас раскусил,EV (O'Neill's plays),,,,,
то есть,from the list of 1000 most freq word combinations in RNC,,,conj,,46328
все равно,from the list of 1000 most freq word combinations in RNC,,,,,21293
до сих пор,from the list of 1000 most freq word combinations in RNC,,,expression with word PORA,,18993
в течение,from the list of 1000 most freq word combinations in RNC,,,conj,,18613
как раз,from the list of 1000 most freq word combinations in RNC,,,adv?,,18434
кроме того,from the list of 1000 most freq word combinations in RNC,,,?,,18254
в качестве,from the list of 1000 most freq word combinations in RNC,,,?,,16751
"в (таком, этом, данном) случае",from the list of 1000 most freq word combinations in RNC,,,expression with word SLUCHAJ,,14944
должно быть,from the list of 1000 most freq word combinations in RNC,,,Parenth,,14916
в результате,from the list of 1000 most freq word combinations in RNC,,,conj?,,14530
со стороны,from the list of 1000 most freq word combinations in RNC,,,expression with word STORONA,,13258
по крайней мере,from the list of 1000 most freq word combinations in RNC,,,Parenth,,12006
в частности,from the list of 1000 most freq word combinations in RNC,,,,,11943
в конце концов,from the list of 1000 most freq word combinations in RNC,,,KONEC,,10812
в целом,from the list of 1000 most freq word combinations in RNC,,,,,10423
в соответствии с,from the list of 1000 most freq word combinations in RNC,,,conj?,,10184
всю жизнь,from the list of 1000 most freq word combinations in RNC,,,,,10151
в основном,from the list of 1000 most freq word combinations in RNC,,,,,9699
во всяком случае,from the list of 1000 most freq word combinations in RNC,,,expression with word SLUCHAJ,,9697
так сказать,from the list of 1000 most freq word combinations in RNC,,,Parenth,,8396
как правило,from the list of 1000 most freq word combinations in RNC,,,Parenth,,7990
как ни,from the list of 1000 most freq word combinations in RNC,,,part of larger unit,,7568
в порядке,from the list of 1000 most freq word combinations in RNC,,,,,7562
тем более что (если и т.д.),from the list of 1000 most freq word combinations in RNC,,,,,7371
что касается,from the list of 1000 most freq word combinations in RNC,,,,,7366
имени (кого-л.),from the list of 1000 most freq word combinations in RNC,,,,,7188
не раз,from the list of 1000 most freq word combinations in RNC,,,,,7183
в руки,from the list of 1000 most freq word combinations in RNC,,,,,7046
в отношении,from the list of 1000 most freq word combinations in RNC,,,prep?,,6940
можно сказать,from the list of 1000 most freq word combinations in RNC,,,Parenth,,6924
в отличие от,from the list of 1000 most freq word combinations in RNC,,,prep?,,6901
быть может,from the list of 1000 most freq word combinations in RNC,,,Parenth,,6542
в первую (вторую и т.д.) очередь,from the list of 1000 most freq word combinations in RNC,,,Parenth,,6478
стало быть,from the list of 1000 most freq word combinations in RNC,,,Parenth,,5921
